candidate_id,mask_hex,k,left_orbit_size,corner_count,corner_s4_class_id,actual_shape_self_isometries,rank3_nonvertex_edge_strata,c3_covariance_globally_certified,congruent_exact_cover,halfspace_convex
P18-S13-O1-K01-M000001,000001,1,24,4,P18-S13-O1-C3-K01-312EF0DA5A4BFBD75938732C7206DB5ABF9CF97B45F3FE2467437BF0FA15A158,1,0,True,True,True
P18-S13-O1-K02-M000003,000003,2,12,5,P18-S13-O1-C3-K02-EC66BB25C5A63F1D84323F35BC87E74F1EF77E49A230589E88BC32B1EFD12E9A,2,0,True,True,True
P18-S13-O1-K02-M000005,000005,2,12,5,P18-S13-O1-C3-K02-5FBD7C887E984A5BC0008AC3E32EAF0336642FFDDF04799AC5CF48290B1838DB,2,0,True,True,True
P18-S13-O1-K02-M000041,000041,2,12,4,P18-S13-O1-C3-K02-4666E81123E6FDC39C2D2929A9F429D694FC25B4FD204E710DDA13D4ED201916,2,0,True,True,True
P18-S13-O1-K03-M000007,000007,3,24,6,P18-S13-O1-C3-K03-0778404CCEBDD48C229099FD8BA56CC7327D13765D1954CD14842EDD4FC28B03,1,0,True,True,True
P18-S13-O1-K03-M000043,000043,3,24,6,P18-S13-O1-C3-K03-715CF66621C40D066CC69352D88FF289BD6A065F759F910265605048F9709E08,1,0,True,False,False
P18-S13-O1-K03-M000045,000045,3,24,4,P18-S13-O1-C3-K03-3C3F9036CDF29CC77571C7EB4CC09EBD3AF2CB101FED1BD01AB697A8DE2ED8F6,1,0,True,True,True
P18-S13-O1-K04-M00000F,00000F,4,12,7,P18-S13-O1-C3-K04-1982C7616B1858DF333A1D9817AFEC6B87A66781646CF9E3CBABE8114212D43A,2,0,True,False,False
P18-S13-O1-K04-M000017,000017,4,12,7,P18-S13-O1-C3-K04-29C61A822044E61FE9D791248992B91C9B4A95E5BE6BF9903922793131C3F673,2,0,True,False,False
P18-S13-O1-K04-M000047,000047,4,24,6,P18-S13-O1-C3-K04-796607F71B2F8AD60B2C263B2B14165253122E5EBABA73A78E1D93875F6D0A2C,1,0,True,False,False
P18-S13-O1-K04-M00004D,00004D,4,24,4,P18-S13-O1-C3-K04-B9A1388621084DFC52CCF459DC3B0828E7B4CE78306A4F66704510458BD51C99,1,0,True,True,True
P18-S13-O1-K04-M000053,000053,4,24,7,P18-S13-O1-C3-K04-5DFDC277DEDA00FC964ACFD589074C9836FD2EF626FB9BCB34EF157A98535961,1,0,True,False,False
P18-S13-O1-K04-M0000C3,0000C3,4,6,5,P18-S13-O1-C3-K04-8693D87D0D11DD6D29EAD038A5AD737B4500EE38CAC2E6F54C54B3CECC9DF93B,4,0,True,True,True
P18-S13-O1-K04-M0000C5,0000C5,4,24,6,P18-S13-O1-C3-K04-796607F71B2F8AD60B2C263B2B14165253122E5EBABA73A78E1D93875F6D0A2C,1,0,True,False,False
P18-S13-O1-K04-M000145,000145,4,12,6,P18-S13-O1-C3-K04-F3D77EEDB26CBC7DE58B4C32664EA4EAB22BCF859690C1BD9629162C3EA3077F,2,0,True,False,False
P18-S13-O1-K04-M001045,001045,4,12,5,P18-S13-O1-C3-K04-569E275AB8F314AFE65F7D04F69526F8A076A9E1E60C7A9320A711DC5C1856B1,2,0,True,False,False
P18-S13-O1-K06-M00003F,00003F,6,4,8,P18-S13-O1-C3-K06-E1214CC6BEA8231133AD8179FAAB56E831CA0D1F6FCBCBBFC634F1AC3AD87169,6,0,True,True,True
P18-S13-O1-K06-M00005F,00005F,6,24,8,P18-S13-O1-C3-K06-787C4CA07BF88DEAD781C5EFF28449EE8AAD686E5818827F1E199FA790E5D100,1,0,True,False,False
P18-S13-O1-K06-M00006F,00006F,6,24,8,P18-S13-O1-C3-K06-787C4CA07BF88DEAD781C5EFF28449EE8AAD686E5818827F1E199FA790E5D100,1,0,True,True,False
P18-S13-O1-K06-M000077,000077,6,24,8,P18-S13-O1-C3-K06-787C4CA07BF88DEAD781C5EFF28449EE8AAD686E5818827F1E199FA790E5D100,1,0,True,True,False
P18-S13-O1-K06-M00007B,00007B,6,24,9,P18-S13-O1-C3-K06-D3D007D93E28A94B85102495C723EC99A0F6DD15DDD56343F8471FC15E6F7851,1,0,True,False,False
P18-S13-O1-K06-M00007D,00007D,6,24,7,P18-S13-O1-C3-K06-B28FD5A33F3678CA0204C853535F90B9242DF8C38A27F759348B947A2E6083BE,1,0,True,True,False
P18-S13-O1-K06-M0000CF,0000CF,6,24,6,P18-S13-O1-C3-K06-EDE0595CB8B97281D84F6F7BF7FA5A384FD607C0C9BB46539B091F153AE260A8,1,0,True,True,False
P18-S13-O1-K06-M0000D7,0000D7,6,12,5,P18-S13-O1-C3-K06-E337BF7445D154F35C61E7F76BF0E26FED6A0EA210B54267A86C1FE8054E5095,2,0,True,False,False
P18-S13-O1-K06-M0000ED,0000ED,6,24,8,P18-S13-O1-C3-K06-787C4CA07BF88DEAD781C5EFF28449EE8AAD686E5818827F1E199FA790E5D100,1,0,True,False,False
P18-S13-O1-K06-M00014F,00014F,6,24,9,P18-S13-O1-C3-K06-5F1999C595AE480536A1C78C80F7B6C8E307C745DC543BE975642F7A332D253F,1,0,True,False,False
P18-S13-O1-K06-M000157,000157,6,24,9,P18-S13-O1-C3-K06-CD223FE415C0F928923EE92E3E1832AA385AAA793C3D7A01CF8670B96B25BD60,1,0,True,True,False
P18-S13-O1-K06-M00016D,00016D,6,24,8,P18-S13-O1-C3-K06-4848B567C3C8EB77042496D328CB97DECF705A17228C4ED002966C483814A203,1,0,True,True,False
